po_id,supplier_id,order_date,promised_date,actual_date,quantity,unit_price,defect_qty,spend,on_time,defect_rate
PO-0001,SUP-15,2025-09-20,2025-10-08,2025-10-08,144,48.35,2,6962.400000000001,1,0.013888888888888888
PO-0002,SUP-06,2025-03-12,2025-04-03,2025-04-03,316,18.73,3,5918.68,1,0.00949367088607595
PO-0003,SUP-08,2025-03-30,2025-04-04,2025-04-04,262,51.96,3,13613.52,1,0.011450381679389313
PO-0004,SUP-07,2025-07-15,2025-07-30,2025-07-30,47,146.94,1,6906.18,1,0.02127659574468085
PO-0005,SUP-03,2025-07-13,2025-07-24,2025-07-25,146,102.95,0,15030.7,0,0.0
PO-0006,SUP-01,2025-01-08,2025-01-18,2025-01-21,142,134.0,2,19028.0,0,0.014084507042253521
PO-0007,SUP-05,2025-08-25,2025-09-08,2025-09-08,388,153.31,3,59484.28,1,0.007731958762886598
PO-0008,SUP-05,2025-06-08,2025-06-22,2025-06-22,274,21.55,1,5904.7,1,0.0036496350364963502
PO-0009,SUP-04,2025-03-29,2025-04-06,2025-04-06,53,109.42,3,5799.26,1,0.05660377358490566
PO-0010,SUP-15,2025-06-22,2025-07-10,2025-07-09,101,64.19,0,6483.19,1,0.0
PO-0011,SUP-15,2025-08-13,2025-08-31,2025-08-31,137,114.08,1,15628.96,1,0.0072992700729927005
PO-0012,SUP-08,2025-03-23,2025-03-28,2025-03-28,205,11.65,4,2388.25,1,0.01951219512195122
PO-0013,SUP-15,2025-10-13,2025-10-31,2025-10-31,141,134.77,0,19002.57,1,0.0
PO-0014,SUP-15,2025-01-01,2025-01-19,2025-01-19,397,66.39,5,26356.83,1,0.012594458438287154
PO-0015,SUP-09,2025-07-17,2025-08-10,2025-08-11,30,5.09,2,152.7,0,0.06666666666666667
PO-0016,SUP-08,2025-12-27,2026-01-01,2026-01-02,71,93.52,3,6639.92,0,0.04225352112676056
PO-0017,SUP-15,2025-07-26,2025-08-13,2025-08-13,154,124.84,1,19225.36,1,0.006493506493506494
PO-0018,SUP-09,2025-03-08,2025-04-01,2025-04-01,81,157.37,1,12746.970000000001,1,0.012345679012345678
PO-0019,SUP-08,2025-06-10,2025-06-15,2025-06-14,54,134.61,1,7268.9400000000005,1,0.018518518518518517
PO-0020,SUP-01,2025-06-01,2025-06-11,2025-06-11,139,150.11,1,20865.29,1,0.007194244604316547
PO-0021,SUP-12,2025-10-19,2025-11-01,2025-11-01,359,71.52,5,25675.68,1,0.013927576601671309
PO-0022,SUP-09,2025-03-01,2025-03-25,2025-03-25,361,106.15,7,38320.15,1,0.019390581717451522
PO-0023,SUP-02,2025-08-21,2025-08-28,2025-08-27,164,63.19,1,10363.16,1,0.006097560975609756
PO-0024,SUP-11,2025-06-02,2025-06-08,2025-06-08,283,109.07,3,30866.809999999998,1,0.01060070671378092
PO-0025,SUP-09,2025-02-11,2025-03-07,2025-03-08,160,12.25,2,1960.0,0,0.0125
PO-0026,SUP-09,2025-10-05,2025-10-29,2025-10-27,39,44.04,0,1717.56,1,0.0
PO-0027,SUP-08,2025-11-28,2025-12-03,2025-12-03,139,24.01,2,3337.3900000000003,1,0.014388489208633094
PO-0028,SUP-10,2025-04-22,2025-05-02,2025-05-03,161,127.07,3,20458.27,0,0.018633540372670808
PO-0029,SUP-06,2025-06-09,2025-07-01,2025-07-01,247,120.77,1,29830.19,1,0.004048582995951417
PO-0030,SUP-12,2025-02-11,2025-02-24,2025-02-26,86,10.26,0,882.36,0,0.0
PO-0031,SUP-14,2025-08-30,2025-09-06,2025-09-08,44,97.07,1,4271.08,0,0.022727272727272728
PO-0032,SUP-05,2025-05-30,2025-06-13,2025-06-14,133,154.83,0,20592.390000000003,0,0.0
PO-0033,SUP-15,2025-07-18,2025-08-05,2025-08-05,60,80.43,0,4825.8,1,0.0
PO-0034,SUP-02,2025-09-27,2025-10-04,2025-10-04,84,73.07,1,6137.879999999999,1,0.011904761904761904
PO-0035,SUP-02,2025-03-03,2025-03-10,2025-03-08,226,19.64,2,4438.64,1,0.008849557522123894
PO-0036,SUP-08,2025-09-01,2025-09-06,2025-09-06,63,69.03,1,4348.89,1,0.015873015873015872
PO-0037,SUP-03,2025-12-03,2025-12-14,2025-12-14,306,146.5,4,44829.0,1,0.013071895424836602
PO-0038,SUP-15,2025-05-02,2025-05-20,2025-05-20,238,119.99,4,28557.62,1,0.01680672268907563
PO-0039,SUP-14,2025-07-13,2025-07-20,2025-07-20,107,127.53,3,13645.710000000001,1,0.028037383177570093
PO-0040,SUP-01,2025-12-13,2025-12-23,2025-12-23,90,41.85,1,3766.5,1,0.011111111111111112
PO-0041,SUP-07,2025-12-19,2026-01-03,2026-01-03,53,80.31,2,4256.43,1,0.03773584905660377
PO-0042,SUP-03,2025-09-09,2025-09-20,2025-09-19,277,57.35,5,15885.95,1,0.018050541516245487
PO-0043,SUP-06,2025-08-13,2025-09-04,2025-09-05,248,37.77,4,9366.960000000001,0,0.016129032258064516
PO-0044,SUP-09,2025-06-14,2025-07-08,2025-07-08,275,77.65,6,21353.75,1,0.02181818181818182
