supplier_id,total_spend,orders,on_time_delivery,defect_rate,avg_unit_price,supplier_name,region,contract_lead_days,cost_score,delivery_score,quality_score,weighted_score,risk_tier
SUP-15,396097.36,35,0.8,0.0075596285646598056,68.15742857142858,Supplier O,South,18,100.0,80.0,99.24403714353402,91.8,Preferred
SUP-12,617775.5700000001,39,0.6923076923076923,0.013158286212571051,68.90435897435897,Supplier L,South,13,97.39916662766423,69.23076923076923,98.68417137874289,86.5,Preferred
SUP-05,464473.69,33,0.7878787878787878,0.012720422425234346,75.04545454545455,Supplier E,South,14,76.01569335981107,78.78787878787878,98.72795775747657,82.8,Preferred
SUP-02,683416.85,50,0.78,0.015800789898489365,75.0958,Supplier B,East,7,75.84038902380665,78.0,98.41992101015107,82.3,Preferred
SUP-10,406053.48,33,0.7272727272727273,0.007677131806654114,73.82151515151516,Supplier J,South,10,80.27748590297877,72.72727272727273,99.23228681933459,82.0,Watch
SUP-08,675668.51,40,0.8,0.019125992907176974,77.20824999999999,Supplier H,West,5,68.48477672601308,80.0,98.0874007092823,80.5,Watch
SUP-06,684083.06,51,0.7254901960784313,0.011165463610506215,75.0535294117647,Supplier F,South,22,75.98757644062528,72.54901960784314,98.88345363894938,80.3,Watch
SUP-07,581872.21,46,0.8043478260869565,0.01641192627451599,78.4104347826087,Supplier G,South,15,64.29873437179074,80.43478260869566,98.3588073725484,79.3,Watch
SUP-01,767824.17,45,0.8888888888888888,0.010777807375641733,81.914,Supplier A,South,10,52.09921845464935,88.88888888888889,98.92221926243583,78.5,Watch
SUP-14,389469.32,28,0.7857142857142857,0.016435867306199992,80.25,Supplier N,Central,7,57.893314818363784,78.57142857142857,98.35641326938,76.3,Watch
SUP-11,794460.85,42,0.7380952380952381,0.009751859587249893,83.32309523809525,Supplier K,South,6,47.19270788062592,73.80952380952381,99.02481404127501,70.8,Watch
SUP-04,689710.9,35,0.6571428571428571,0.02175937136716813,83.34628571428571,Supplier D,South,8,47.111957968505735,65.71428571428571,97.82406286328319,67.2,High
SUP-09,635740.26,46,0.41304347826086957,0.02059992271510268,78.2904347826087,Supplier I,East,24,64.71657785955863,41.30434782608695,97.94000772848973,63.7,High
SUP-13,762384.3200000001,39,0.6923076923076923,0.015382446501171035,92.19358974358975,Supplier M,South,21,16.305388193946502,69.23076923076923,98.46175534988289,58.0,High
SUP-03,849311.63,38,0.7631578947368421,0.017672970938758345,96.8763157894737,Supplier C,West,11,0.0,76.31578947368422,98.23270290612417,55.1,High
